tradeValue,pick,,,,,,,
3000,1,,,,,,,
2600,2,,,,,,,
2200,3,,,,,,,
1800,4,,,,,,,
1700,5,,,,,,,
1600,6,,,,,,,
1500,7,,,,,,,
1400,8,,,,,,,
1350,9,,,,,,,
1300,10,,,,,,,
1250,11,,,,,,,
1200,12,,,,,,,
1150,13,,,,,,,
1100,14,,,,,,,
1050,15,,,,,,,
1000,16,,,,,,,
950,17,,,,,,,
900,18,,,,,,,
875,19,,,,,,,
850,20,,,,,,,
800,21,,,,,,,
780,22,,,,,,,
760,23,,,,,,,
740,24,,,,,,,
720,25,,,,,,,
700,26,,,,,,,
680,27,,,,,,,
660,28,,,,,,,
640,29,,,,,,,
620,30,,,,,,,
600,31,,,,,,,
590,32,,,,,,,
580,33,,,,,,,
560,34,,,,,,,
550,35,,,,,,,
540,36,,,,,,,
530,37,,,,    ,,,
520,38,,    ,,    ,,,
510,39,,    ,,    ,,    ,
500,40,,    ,,    ,,    ,
490,41,,,,,,,
480,42,,,,,,,
470,43,,,,,,,
460,44,,,,,,,
450,45,,,,,,,
440,46,,,,,,,
430,47,,,,,,,
420,48,,,,,,,
410,49,,,,,,,
400,50,,,,,,,
390,51,,,,,,,
380,52,,,,,,,
370,53,,,,,,,
360,54,,,,,,,
350,55,,,,,,,
340,56,,,,,,,
330,57,,,,,,,
320,58,,,,,,,
310,59,,,,,,,
300,60,,,,,,,
292,61,,,,,,,
284,62,,,,,,,
276,63,,,,,,,
270,64,,,,,,,
265,65,,,,,,,
260,66,,,,,,,
255,67,,,,,,,
250,68,,,,,,,
245,69,,,,,,,
240,70,,,,,,,
235,71,,,,,,,
230,72,,,,,,,
225,73,,,,,,,
220,74,,,,,,,
215,75,,,,,,,
210,76,,,,,,,
205,77,,,,,,,
200,78,,,,,,,
195,79,,,,,,,
190,80,,,,,,,
185,81,,,,,,,
180,82,,,,,,,
175,83,,,,,,,
170,84,,,,,,,
165,85,,,,,,,
160,86,,,,,,,
155,87,,,,,,,
150,88,,,,,,,
145,89,,,,,,,
140,90,,,,,,,
136,91,,,,,,,
132,92,,,,,,,
128,93,,,,,,,
124,94,,,,,,,
120,95,,,,,,,
116,96,,,,,,,
112,97,,,,,,,
108,98,,,,,,,
104,99,,,,,,,
100,100,,,,,,,
96,101,,,,,,,
92,102,,,,,,,
88,103,,,,,,,
86,104,,,,,,,
84,105,,,,,,,
82,106,,,,,,,
80,107,,,,,,,
78,108,,,,,,,
76,109,,,,,,,
74,110,,,,,,,
72,111,,,,,,,
70,112,,,,,,,
68,113,,,,,,,
66,114,,,,,,,
64,115,,,,,,,
62,116,,,,,,,
60,117,,,,,,,
58,118,,,,,,,
56,119,,,,,,,
54,120,,,,,,,
52,121,,,,,,,
50,122,,,,,,,
49,123,,,,,,,
48,124,,,,,,,
47,125,,,,,,,
46,126,,,,,,,
45,127,,,,,,,
44,128,,,,,,,
43,129,,,,,,,
42,130,,,,,,,
41,131,,,,,,,
40,132,,,,,,,
39.5,133,,,,,,,
39,134,,,,,,,
38.5,135,,,,,,,
38,136,,,,,,,
37.5,137,,,,,,,
37,138,,,,,,,
36.5,139,,,,,,,
36,140,,,,,,,
35.5,141,,,,,,,
35,142,,,,,,,
34.5,143,,,,,,,
34,144,,,,,,,
33.5,145,,,,,,,
33,146,,,,,,,
32.6,147,,,,,,,
32.3,148,,,,,,,
31.8,149,,,,,,,
31.4,150,,,,,,,
31,151,,,,,,,
30.6,152,,,,,,,
30.2,153,,,,,,,
29.8,154,,,,,,,
29.4,155,,,,,,,
29,156,,,,,,,
28.6,157,,,,,,,
28.2,158,,,,,,,
27.8,159,,,,,,,
27.4,160,,,,,,,
27,161,,,,,,,
26.6,162,,,,,,,
26.2,163,,,,,,,
25.8,164,,,,,,,
25.4,165,,,,,,,
25,166,,,,,,,
24.6,167,,,,,,,
24.2,168,,,,,,,
23.8,169,,,,,,,
23.4,170,,,,,,,
23,171,,,,,,,
22.6,172,,,,,,,
22.2,173,,,,,,,
21.8,174,,,,,,,
21.4,175,,,,,,,
21,176,,,,,,,
20.6,177,,,,,,,
20.2,178,,,,,,,
19.8,179,,,,,,,
