season,round,pick,team,pfr_player_id,pfr_player_name,position,college,allpro,probowls,seasons_started,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_2pt_conversions
2000,1,5,BAL,LewiJa00,Jamal Lewis,RB,Tennessee,1,1,9,131,2671,11000,62,37,23,485,2,231,259,1947,4,4,4,35,618,73,0
2000,1,7,ARI,JoneTh00,Thomas Jones,RB,Virginia,0,1,9,180,2805,11099,73,26,12,527,0,320,364,2113,3,2,2,-88,971,93,0
2000,1,11,NYG,DaynRo00,Ron Dayne,RB,Wisconsin,0,0,1,96,1011,3796,28,7,4,222,2,59,65,352,0,1,1,-13,202,10,0
2000,1,19,SEA,AlexSh00,Shaun Alexander,RB,Alabama,1,3,7,123,2356,10009,108,30,18,535,0,225,265,1572,12,2,0,-2,154,72,0
2000,1,31,STL,CaniTr00,Trung Canidate,RB,Arizona,0,0,1,46,240,1092,7,3,2,48,0,32,42,260,1,1,1,0,0,13,0
2000,3,63,CLE,PrenTr00,Travis Prentice,RB,Miami (OH),0,0,1,30,185,509,9,1,1,32,0,38,44,201,1,1,0,0,0,7,0
2000,3,76,NWE,RedmJ.00,J.R. Redmond,RB,Arizona St.,0,0,0,50,200,682,1,3,1,25,0,77,97,571,2,1,0,0,0,22,0
2000,3,81,DET,DrouRe00,Reuben Droughns,RB,Oregon,0,0,3,114,937,3631,19,17,8,200,0,132,135,1036,6,0,0,-22,240,51,0
2000,3,88,MIN,ChapDo00,Doug Chapman,RB,Marshall,0,0,0,26,90,317,0,2,0,15,0,17,20,143,1,0,0,0,9,5,0
2000,4,97,CIN,KeatCu00,Curtis Keaton,RB,James Madison,0,0,0,25,23,91,0,1,0,4,0,1,1,9,0,0,0,0,0,0,0
2000,4,115,KAN,MoreFr00,Frank Moreau,RB,Louisville,0,0,0,14,57,148,4,3,1,15,0,0,0,0,0,0,0,0,0,0,0
2000,5,132,SFO,SmitPa00,Paul Smith,RB,Texas-El Paso,0,0,0,79,46,210,1,1,0,11,0,18,22,182,0,1,1,0,0,9,0
2000,5,144,DAL,WileMi00,Michael Wiley,RB,Ohio St.,0,0,0,42,80,503,1,1,0,24,0,43,74,315,2,2,2,0,0,14,0
2000,5,156,BUF,MorrSa00,Sammy Morris,RB,Texas Tech,0,0,3,144,730,3040,25,7,5,188,1,167,194,1267,1,1,0,125,595,53,0
2000,5,166,NOR,MortCh00,Chad Morton,RB,USC,0,0,0,93,92,381,0,0,0,16,0,60,73,550,1,0,0,0,0,24,0
