season_x,round,pick,team,pfr_player_id,pfr_player_name,position,college,age,to,allpro,probowls,seasons_started,games,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs
2000,1,4,CIN,WarrPe00,Peter Warrick,WR,Florida St.,23,2005,0,0,4,79,275,444,2998,18,1,1,0,0,153
2000,1,8,PIT,BurrPl00,Plaxico Burress,WR,Michigan St.,23,2012,0,0,10,148,599,838,9190,70,10,4,3529,758,444
2000,1,10,BAL,TaylTr01,Travis Taylor,WR,Florida,22,2007,0,0,7,101,325,464,4175,23,4,4,446,209,199
2000,1,21,KAN,MorrSy00,Sylvester Morris,WR,Jackson St.,22,2000,0,0,1,15,42,98,566,0,3,3,0,0,26
2000,1,29,JAX,SowaR.00,R. Jay Soward,WR,USC,22,2000,0,0,0,13,,,,,,,,,
2000,2,32,CLE,NortDe00,Dennis Northcutt,WR,Arizona,22,2009,0,0,3,144,408,508,5066,20,2,2,1610,528,242
2000,2,36,PHI,PinkTo00,Todd Pinkston,WR,Southern Miss,23,2004,0,0,4,78,216,350,3249,16,2,0,0,0,138
2000,2,47,OAK,PortJe00,Jerry Porter,WR,West Virginia,22,2008,0,0,4,115,313,359,4412,34,4,3,691,189,213
2000,3,66,CIN,DugaRo00,Ron Dugans,WR,Florida St.,23,2002,0,0,0,46,89,156,797,3,0,0,0,0,44
2000,3,69,CHI,WhitDe00,Dez White,WR,Georgia Tech,21,2005,0,0,4,82,193,287,2189,11,2,2,0,0,101
2000,3,70,DEN,ColeCh00,Chris Cole,WR,Texas A&M,22,2003,0,0,0,35,12,22,164,0,1,1,0,0,8
2000,3,73,NYG,DixoRo00,Ron Dixon,WR,Lambuth,24,2002,0,0,0,37,44,93,764,4,1,1,0,18,38
2000,3,78,NYJ,ColeLa00,Laveranues Coles,WR,Florida St.,22,2009,0,1,9,153,700,858,8869,50,5,2,2538,1009,456
2000,3,79,CLE,DawsJa00,JaJuan Dawson,WR,Tulane,22,2002,0,0,0,30,52,87,664,2,1,0,0,0,33
2000,3,80,SEA,JackDa00,Darrell Jackson,WR,Florida,21,2008,0,0,7,123,540,692,7643,54,9,6,1311,389,364
2000,4,99,PHI,ScotGa00,Gari Scott,WR,Michigan St.,22,2001,0,0,0,3,2,4,26,0,0,0,0,0,1
2000,4,103,PIT,FarmDa00,Danny Farmer,WR,UCLA,23,2002,0,0,0,33,43,71,611,1,2,1,0,0,29
2000,4,111,SDG,GaylTr00,Trevor Gaylor,WR,Miami (OH),22,2002,0,0,0,34,55,121,811,4,1,0,0,0,43
2000,4,114,GNB,,Anthony Lucas,WR,Arkansas,,,0,0,0,,,,,,,,,,
2000,4,121,BUF,BlacAv00,Avion Black,WR,Tennessee St.,23,2002,0,0,0,27,14,26,142,0,0,0,0,0,7
2000,5,143,NYJ,HayeWi00,Windrell Hayes,WR,USC,23,2001,0,0,0,9,6,21,126,0,0,0,0,0,6
2000,5,151,GNB,,Joey Jamison,WR,Texas Southern,,,0,0,0,,,,,,,,,,
2000,5,153,KAN,HallDa00,Dante Hall,WR,Texas A&M,21,2008,1,2,0,112,166,181,1778,10,0,0,236,112,87
2000,5,154,DEN,,Muneer Moore,WR,Richmond,,,0,0,0,,,,,,,,,,
2000,5,165,MIN,WaltTr00,Troy Walters,WR,Stanford,23,2007,0,0,0,98,110,120,1190,9,1,1,167,143,67
2000,6,170,CHI,MurpFr00,Frank Murphy,WR,Kansas St.,23,2004,0,0,0,20,8,17,71,1,0,0,0,0,4
2000,6,172,ATL,PhilMa20,Mareno Philyaw,WR,Troy,22,2000,0,0,0,1,,,,,,,,,
2000,6,175,SEA,WillJa01,James Williams,WR,Marshall,22,2003,0,0,0,30,29,53,410,1,0,0,0,0,17
2000,6,196,JAX,SmitEm20,Emanuel Smith,WR,Arkansas,24,2000,0,0,0,1,,,,,,,,,
2000,6,200,NOR,,Sherrod Gideon,WR,Southern Miss,,,0,0,0,,,,,,,,,,
2000,7,208,KAN,,Desmond Kitchings,WR,Furman,,,0,0,0,,,,,,,,,,
2000,7,233,BUF,HaddDr00,Drew Haddad,WR,Buffalo,22,2004,0,0,0,2,1,1,11,0,0,0,0,0,1
2000,7,242,GNB,LeexCh00,Charles Lee,WR,Central Florida,22,2005,0,0,0,44,71,83,949,3,1,1,0,0,44
2000,7,246,DEN,,Leroy Fields,WR,Jackson St.,,,0,0,0,,,,,,,,,,
2000,7,250,WAS,,Ethan Howell,WR,Oklahoma St.,,,0,0,0,,,,,,,,,,
2001,1,8,CHI,TerrDa00,David Terrell,WR,Michigan,22,2005,0,0,1,54,130,161,1620,9,1,0,0,0,82
2001,1,9,SEA,RobiKo00,Koren Robinson,WR,North Carolina St.,21,2008,0,1,4,96,309,411,4388,16,7,1,457,289,201
2001,1,15,WAS,GardRo00,Rod Gardner,WR,Clemson,23,2006,0,0,4,91,242,367,3165,23,3,1,8,9,148
2001,1,16,NYJ,MossSa00,Santana Moss,WR,Miami (FL),22,2014,0,1,9,197,768,1030,10729,70,15,10,6679,2483,515
2001,1,25,PHI,MitcFr00,Freddie Mitchell,WR,UCLA,22,2004,0,0,1,63,107,146,1450,6,2,0,0,0,74
2001,1,30,IND,WaynRe00,Reggie Wayne,WR,Miami (FL),22,2014,1,6,13,211,1163,1564,15599,91,12,8,12540,3071,827
2001,2,33,CLE,MorgQu00,Quincy Morgan,WR,Kansas St.,23,2006,0,0,4,86,166,251,2496,17,4,3,0,0,100
